DEPT,CNPOR,GR,RHOB,DT,MELCAL,SPOR,Vsh
1589.50,16.53,14.81,2.05,74.15,14.27,18.78,0.03
1590.00,16.90,10.58,2.05,73.23,14.03,18.13,0.01
1590.50,16.49,11.32,2.03,72.23,14.55,17.42,0.02
1591.00,15.90,14.52,2.00,71.50,15.23,16.90,0.03
1591.50,16.83,14.90,1.98,71.29,15.67,16.75,0.03
1592.00,19.30,11.22,1.96,71.57,15.31,16.95,0.02
1592.50,20.84,10.67,1.96,72.02,16.35,17.27,0.01
1593.00,19.79,11.01,1.97,72.25,16.63,17.43,0.02
1593.50,16.90,11.55,1.99,72.07,16.30,17.31,0.02
1594.00,13.46,13.83,2.00,71.52,16.45,16.92,0.02
1594.50,12.09,14.92,2.01,70.91,15.92,16.48,0.03
1595.00,14.75,15.35,2.01,70.63,16.01,16.29,0.03
1595.50,18.99,14.08,2.02,70.80,16.03,16.41,0.02
1596.00,21.15,13.91,2.04,71.33,15.66,16.78,0.02
1596.50,21.42,15.51,2.06,71.93,15.74,17.21,0.03
1597.00,22.14,17.07,2.07,72.38,16.19,17.53,0.03
1597.50,22.23,19.97,2.09,72.72,15.12,17.77,0.04
1598.00,18.89,22.40,2.11,72.90,14.06,17.89,0.05
1598.50,14.98,19.74,2.11,72.72,13.97,17.76,0.04
1599.00,13.73,14.56,2.10,72.17,13.98,17.38,0.03
1599.50,14.62,11.87,2.08,71.51,14.72,16.91,0.02
1600.00,16.08,11.79,2.05,70.89,15.56,16.47,0.02
1600.50,17.37,12.75,2.02,70.35,15.71,16.09,0.02
1601.00,18.33,13.36,1.98,69.93,15.41,15.79,0.02
1601.50,19.67,15.67,1.94,69.80,15.48,15.70,0.03
1602.00,22.54,14.97,1.90,70.01,17.50,15.85,0.03
1602.50,25.78,12.94,1.88,70.47,17.92,16.17,0.02
1603.00,28.12,13.97,1.86,70.97,16.85,16.53,0.02
1603.50,29.02,13.30,1.83,71.23,17.77,16.71,0.02
1604.00,27.00,11.71,1.82,71.20,17.79,16.69,0.02
1604.50,22.45,12.44,1.83,71.18,15.96,16.68,0.02
1605.00,21.22,12.82,1.87,71.12,16.52,16.63,0.02
1605.50,23.91,12.34,1.93,70.75,17.04,16.37,0.02
1606.00,24.11,11.38,1.99,70.20,14.87,15.98,0.02
1606.50,19.05,11.01,2.04,69.72,14.54,15.65,0.02
1607.00,13.53,14.71,2.09,69.42,15.44,15.43,0.03
1607.50,10.68,15.63,2.13,69.40,14.26,15.42,0.03
1608.00,10.14,12.05,2.12,69.71,13.49,15.64,0.02
1608.50,10.76,13.00,2.09,70.24,13.47,16.01,0.02
1609.00,12.38,15.36,2.06,70.95,14.69,16.52,0.03
1609.50,14.61,19.10,2.04,71.88,15.35,17.17,0.04
1610.00,16.45,18.98,2.02,72.98,13.75,17.95,0.04
1610.50,19.42,15.34,2.00,74.12,13.32,18.75,0.03
1611.00,25.49,13.70,1.99,74.90,14.22,19.31,0.02
1611.50,28.70,15.43,1.99,75.04,14.04,19.40,0.03
1612.00,24.80,13.36,1.99,74.72,12.98,19.18,0.02
1612.50,19.77,15.66,2.00,74.36,13.30,18.92,0.03
1613.00,17.78,22.73,2.05,74.37,13.49,18.94,0.05
1613.50,17.77,29.17,2.10,74.97,12.88,19.35,0.07
1614.00,18.06,30.67,2.07,75.64,11.62,19.83,0.07
1614.50,18.69,24.32,2.00,75.57,12.55,19.78,0.05
1615.00,20.53,15.88,1.94,74.67,14.89,19.14,0.03
1615.50,23.01,12.14,1.91,73.58,16.14,18.37,0.02
1616.00,22.51,10.29,1.91,72.75,15.97,17.79,0.01
1616.50,18.11,11.39,1.93,72.22,15.62,17.41,0.02
1617.00,15.01,11.65,1.95,71.81,15.52,17.12,0.02
1617.50,14.77,13.24,1.97,71.41,15.44,16.84,0.02
1618.00,14.09,15.36,2.00,71.15,14.82,16.66,0.03
1618.50,12.98,14.26,2.03,71.22,14.16,16.70,0.03
1619.00,14.30,14.05,2.06,71.43,15.38,16.85,0.02
1619.50,16.47,13.94,2.06,71.51,15.74,16.91,0.02
1620.00,15.99,15.60,2.03,71.66,14.23,17.02,0.03
1620.50,13.01,16.72,2.01,72.07,12.57,17.31,0.03
1621.00,9.79,16.43,1.99,72.42,12.97,17.55,0.03
1621.50,8.56,15.37,1.96,72.30,12.94,17.47,0.03
1622.00,9.34,15.45,1.92,71.87,12.79,17.16,0.03
1622.50,10.21,14.83,1.90,71.55,14.16,16.94,0.03
1623.00,11.50,13.90,1.94,71.65,15.24,17.01,0.02
1623.50,14.43,16.30,1.98,72.12,14.14,17.34,0.03
1624.00,17.14,15.95,2.00,72.54,13.13,17.64,0.03
1624.50,17.16,13.99,1.98,72.73,12.63,17.77,0.02
1625.00,14.69,15.78,1.96,72.78,13.62,17.81,0.03
1625.50,10.76,14.72,1.99,72.63,13.50,17.70,0.03
1626.00,6.84,12.65,2.05,72.20,12.04,17.40,0.02
1626.50,4.57,12.55,2.09,71.44,11.92,16.86,0.02
1627.00,3.97,12.49,2.11,70.41,12.13,16.13,0.02
1627.50,5.13,14.31,2.11,69.42,12.36,15.43,0.03
1628.00,7.64,15.77,2.11,68.79,12.73,14.99,0.03
1628.50,9.39,15.56,2.10,68.66,12.98,14.89,0.03
1629.00,9.98,14.89,2.08,68.98,13.64,15.12,0.03
1629.50,9.84,14.50,2.07,69.52,13.98,15.50,0.03
1630.00,8.98,16.79,2.06,69.91,13.90,15.78,0.03
1630.50,8.66,20.18,2.06,70.03,13.55,15.86,0.04
1631.00,9.15,21.24,2.06,70.05,12.95,15.88,0.05
1631.50,9.09,18.72,2.06,70.17,13.18,15.96,0.04
1632.00,8.68,16.49,2.04,70.46,13.49,16.17,0.03
1632.50,10.07,16.20,1.97,70.87,14.26,16.46,0.03
1633.00,12.87,16.99,1.88,71.13,15.00,16.64,0.03
1633.50,13.87,16.14,1.86,70.85,15.02,16.45,0.03
1634.00,10.84,16.73,1.92,70.07,14.41,15.89,0.03
1634.50,4.79,16.82,2.00,69.39,13.92,15.41,0.03
1635.00,2.47,17.42,2.03,69.46,14.62,15.46,0.03
1635.50,5.41,17.08,2.01,70.41,16.52,16.13,0.03
1636.00,14.42,19.94,2.02,71.92,17.32,17.20,0.04
